Age,PastEmployee,BusinessTravel,Department,Gender,JobRole,NumCompaniesWorked,OverTime
46,No,Travel_Rarely,Human Resources,Male,Human Resources,8,Yes
37,Yes,Travel_Rarely,Human Resources,Male,Human Resources,4,Yes
59,No,Non-Travel,Human Resources,Female,Manager,9,No
54,No,Non-Travel,Human Resources,Female,Manager,2,Yes
26,No,Travel_Rarely,Human Resources,Female,Human Resources,1,No
30,No,Travel_Rarely,Human Resources,Male,Human Resources,0,Yes
59,No,Travel_Rarely,Human Resources,Male,Human Resources,8,No
31,No,Travel_Rarely,Human Resources,Male,Human Resources,3,No
42,No,Travel_Rarely,Human Resources,Male,Human Resources,0,Yes
19,Yes,Travel_Rarely,Human Resources,Male,Human Resources,1,No
34,Yes,Travel_Frequently,Human Resources,Female,Human Resources,9,Yes
26,Yes,Travel_Frequently,Human Resources,Female,Human Resources,0,Yes
50,No,Travel_Frequently,Human Resources,Male,Manager,1,No
44,No,Travel_Rarely,Human Resources,Female,Human Resources,4,No
54,No,Travel_Rarely,Human Resources,Male,Human Resources,2,No
41,No,Travel_Rarely,Human Resources,Male,Manager,3,No
41,No,Travel_Rarely,Human Resources,Male,Manager,1,No
39,No,Travel_Rarely,Human Resources,Female,Human Resources,9,No
36,No,Travel_Rarely,Human Resources,Male,Human Resources,4,No
34,No,Travel_Rarely,Human Resources,Male,Human Resources,0,No
28,No,Travel_Rarely,Human Resources,Male,Human Resources,1,No
36,No,Travel_Rarely,Human Resources,Male,Human Resources,0,No
39,No,Travel_Rarely,Human Resources,Female,Human Resources,8,No
33,No,Travel_Rarely,Human Resources,Male,Human Resources,3,Yes
45,No,Travel_Rarely,Human Resources,Male,Human Resources,1,No
44,Yes,Travel_Rarely,Human Resources,Male,Human Resources,9,No
38,No,Travel_Rarely,Human Resources,Male,Human Resources,1,No
35,No,Travel_Rarely,Human Resources,Male,Human Resources,1,No
33,No,Travel_Rarely,Human Resources,Male,Human Resources,1,No
42,No,Non-Travel,Human Resources,Male,Human Resources,7,No
34,No,Travel_Frequently,Human Resources,Male,Human Resources,4,No
46,No,Travel_Rarely,Human Resources,Female,Human Resources,6,No
56,No,Travel_Rarely,Human Resources,Male,Manager,6,No
51,No,Travel_Rarely,Human Resources,Male,Manager,1,Yes
42,No,Travel_Rarely,Human Resources,Female,Manager,0,No
29,No,Travel_Rarely,Human Resources,Male,Human Resources,1,No
31,No,Travel_Rarely,Human Resources,Female,Human Resources,9,No
34,Yes,Travel_Rarely,Human Resources,Female,Human Resources,1,No
30,No,Travel_Rarely,Human Resources,Male,Human Resources,0,No
40,No,Travel_Rarely,Human Resources,Male,Manager,1,Yes
38,No,Travel_Frequently,Human Resources,Male,Human Resources,3,No
47,No,Travel_Rarely,Human Resources,Female,Manager,3,No
44,No,Travel_Frequently,Human Resources,Male,Human Resources,4,Yes
44,No,Travel_Rarely,Human Resources,Female,Human Resources,4,Yes
24,Yes,Travel_Rarely,Human Resources,Male,Human Resources,1,No
41,No,Non-Travel,Human Resources,Male,Human Resources,6,No
45,No,Travel_Rarely,Human Resources,Female,Human Resources,4,No
24,No,Travel_Frequently,Human Resources,Male,Human Resources,0,No
30,Yes,Travel_Frequently,Human Resources,Female,Human Resources,6,No
